get	(6 Indexer) (6 Indexer) (1 RunMe) (6 Indexer) 
global	(2 read) (1 ReadMe) 
global_index	(1 Indexer) (1 Indexer) (1 Indexer) 
globalindex	(1 Indexer) (1 Indexer) (1 Indexer) 
globalindexmapper	(1 Indexer) (1 Indexer) (1 Indexer) 
globalindexreducer	(1 Indexer) (1 Indexer) (1 Indexer) 
go	(1 RunMe) 
goes:	(1 ReadMe) (1 read) 
going	(2 RunMe) (1 Indexer) (1 Indexer) (1 Indexer) 
golbalindexer	(1 read) (1 ReadMe) 
google	(1 ReadMe) (1 RunMe) (1 read) 
great!	(1 RunMe) 
hadoop	(1 RunMe) (12 Indexer) (4 IndexMapper) (6 read) (12 Indexer) (12 Indexer) 
hadoop/mapreduce	(1 ReadMe) (1 read) 
handle	(3 RunMe) 
handling	(1 RunMe) 
hasmoretokens	(1 IndexMapper) 
hdfs	(2 read) (7 Indexer) (7 Indexer) (3 RunMe) (2 ReadMe) (7 Indexer) 
hdfsdir	(4 Indexer) (4 Indexer) (4 Indexer) 
hdfspath	(2 Indexer) (2 Indexer) (2 Indexer) 
here	(3 RunMe) 
i	(4 RunMe) 
idea	(1 read) (1 ReadMe) 
identifier	(1 read) 
identifier:	(1 RunMe) 
idk	(1 RunMe) 
if	(3 RunMe) (1 Index1Test) 
implementation	(1 read) (1 ReadMe) 
import	(1 ReadMe) (2 Index1Test) (2 RunMe) (6 IndexMapper) (14 Indexer) (1 read) (14 Indexer) (14 Indexer) 
in	(2 RunMe) 
index	(1 RunMe) (2 ReadMe) (1 IndexMapper) (2 read) 
index!	(1 RunMe) 
index1test	(2 Index1Test) 
index_1_file	(1 Indexer) (1 Indexer) (1 Indexer) 
index_loc	(4 RunMe) 
indexer	(11 RunMe) (3 Indexer) (1 Index1Test) (6 read) (3 Indexer) (3 Indexer) 
indexes	(1 ReadMe) (1 read) 
indexexcept	(2 RunMe) 
indexfile	(2 RunMe) (1 Indexer) (1 Indexer) (1 Index1Test) (1 Indexer) 
indexing	(2 RunMe) 
indexmapper	(1 Indexer) (1 Indexer) (1 Indexer) (1 IndexMapper) 
indexreducer	(2 Indexer) (2 Indexer) (2 Indexer) 
